Symbol ,Series ,LTP ,%chng ,New 52W/H price ,Prev.High ,Prev. High Date 
AIMTRON,SM,995,-1.74,1040,1029,20-Nov-2025
ANURAS,EQ,1241.9,5.32,1255,1197,14-Aug-2025
APEX,EQ,332.28,20,332.28,305.99,19-Nov-2025
APRAMEYA,SM,345,-2.2,360,358.85,20-Nov-2025
BHARTIARTL,EQ,2165,0.31,2174.5,2169.3,20-Nov-2025
BSLSENETFG,EQ,85.25,-0.61,86.7,86.7,20-Nov-2025
CAPILLARY,EQ,601.1,5.11,633.9,0,-
CUPID,EQ,336.89,2.24,338.49,336.99,19-Nov-2025
DIVINEHIRA,ST,184.3,3.51,184.9,178.05,20-Nov-2025
EICHERMOT,EQ,7139,0.19,7205,7138,20-Nov-2025
GMRAIRPORT,EQ,103.94,0.65,105.49,104.85,18-Nov-2025
GREENLEAF,SM,145,10.02,154,144.8,10-Nov-2025
HDFCNIFBAN,EQ,60.33,-0.77,60.97,60.9,20-Nov-2025
HDFCSENSEX,EQ,95.76,-0.51,96.83,96.57,21-Oct-2025
HOACFOODS,ST,346.65,5,346.65,335,20-Nov-2025
IVZINNIFTY,EQ,2964.88,-0.28,3047.56,2995.38,29-Oct-2025
IWARE,ST,223.7,5,223.7,213.05,20-Nov-2025
JAYESH,SM,138.5,7.12,140.1,135,20-Nov-2025
M&MFIN,EQ,341.7,-1.41,354.6,348.95,20-Nov-2025
MAKEINDIA,EQ,154.39,-0.76,160.24,160.2,17-Nov-2025
MEGAFLEX,ST,97.15,4.97,97.15,95.85,20-Nov-2025
MOIPO,EQ,48.44,-1.38,53,49.19,20-Nov-2025
MOMIDMTM,EQ,64.14,-1,66.73,65.85,04-Jul-2025
MON50EQUAL,EQ,33.48,0.15,34.43,34.4,04-Nov-2025
MONOLITH,SM,580,4.62,607.4,589.75,12-Nov-2025
MTARTECH,EQ,2614,-3.07,2719,2706.6,20-Nov-2025
OILIETF,EQ,12.25,-0.89,12.66,12.53,02-Jul-2025
PIRAMALFIN,EQ,1680,0.22,1784,1695,19-Nov-2025
PRAMARA,SM,346,4.25,347.95,335,17-Nov-2025
PSRAJ,ST,299,3.91,299,288,20-Nov-2025
RELIANCE,EQ,1543.7,-0.35,1557.8,1551,09-Jul-2025
RNPL,ST,145.65,1.71,146.2,143.5,20-Nov-2025
SACHEEROME,ST,350.2,2.74,357.85,340.85,20-Nov-2025
SETFNIF50,EQ,278.3,-0.4,286.41,284.28,23-Oct-2025
SHETHJI,ST,115.8,-1.99,118.15,118.15,20-Nov-2025
SOLEX,EQ,1920,0.1,1985,1918,20-Nov-2025
UNIHEALTH,SM,321.4,9.99,321.4,292.2,20-Nov-2025
UTIBANKETF,EQ,60.78,-0.77,61.48,61.34,20-Nov-2025
VCL,EQ,1.45,4.32,1.45,1.39,20-Nov-2025
VENUSREM,EQ,704,2.16,725,707.05,20-Nov-2025
VIESL,ST,297,4.39,298.7,287,12-Nov-2025
ZOTA,EQ,1674,0.26,1740,1712.7,20-Nov-2025
